picture,location_active,location_sec,active_hand_hs,secondary_hand_hs,tense_lax_active,tense_lax_sec
dinamichnyj_frame2,,,87,87,0,0
dinamika_frame1,,,2,2,,
dinamika_frame2,,,87,87,,
direktor_frame2,,,51,,,
disciplina_frame2,,,69,69,,
disciplinirovannyj_frame1,,,69,69,,
disciplinirovannyj_frame2,,,69,69,,
disko_frame1,,,110,110,,
diskreditacija_frame2,,,137,137,,
diskriminacija_frame1,,,87,3,,
diskriminacija_frame2,,,87,3,,
diskriminirovat'_frame1,,,87,3,,
diskriminirovat'_frame2,,,87,3,,
diskvalificirovat'_frame2,,,2,2,,
disk_frame1,,,110,110,,
disk_frame2,,,110,110,,
dissertacija_frame2,,,1,71,,
dissonans_frame1,,,14,14,,
dissonans_frame2,,,14,14,,
distress_frame1,,,18,18,,
distress_frame2,,,18,18,,
divan_frame1,,,87,87,,
dizajn_frame2,,,14,14,,
djadja_frame2,,,34,,,
dnevnik_frame1,,,69,69,,
dno_frame1,,,69,69,,
dno_frame2,,,69,69,,
dnyom_frame2,,,85,85,,
dobavit'_frame1,,,76,76,,
dobavljat'_frame1,,,76,76,,
dobroporjadochnost'_frame1,,,14,,,
dobroporjadochnost'_frame2,,,144,,,
dobrota_frame1,,,76,,,
dobrota_frame2,,,76,,,
dobrovol'nyj_frame2,,,71,,,
dobryj_frame1,,,76,,,
dobryj_frame2,,,76,,,
doch'_frame1,,,53,,,
doch'_frame2,,,125,,,
dogadka_frame1,,,87,87,,
dogadka_frame2,,,87,87,,
dogonjalki_frame1,,,3,3,,
dogonjalki_frame2,,,3,3,,
dogovor_frame1,,,71,71,,
dogovor_frame2,,,71,71,,
dohod_frame1,,,144,,,
dohod_frame2,,,144,,,
doit'_frame1,,,1,1,,
dokazyvat'_frame1,,,34,71,,
dokazyvat'_frame2,,,34,71,,
doktor_frame2,,,95,,,
dokument_frame1,,,1,71,,0
dokument_frame2,,,1,71,,0
dolg_frame1,,,34,,,
dolg_frame2,,,34,,,
dolina_frame1,,,79,79,,
dolina_frame2,,,79,79,,
dolja_frame1,,,71,71,,
dolja_frame2,,,71,71,,
dolzhen_frame2,,,14,71,,
dolzhnost'_frame2,,,14,71,,0
dominantnyj_frame2,,,1,1,,
dominirovat'_frame1,,,3,69,,0
dominirujuszij_frame1,,,3,69,,0
domogat'sja_frame1,,,3,3,,
domogat'sja_frame2,,,3,3,,
dom_frame1,,,69,69,,
dom_frame2,,,69,69,,
dopolnenie_frame1,,,14,,,
dopolnenie_frame2,,,14,14,,
dopolnitel'nyj_frame2,,,73,69,,
dopusk_frame1,,,71,71,,
dopusk_frame2,,,71,71,,
dopustimyj_frame2,,,144,144,,
dopuszennyj_frame1,,,79,79,,
dostatochno_frame2,,,69,,,
dostatochnyj_frame2,,,69,,,
dostavat'_frame1,,,1,71,,0
dostavat'_frame2,,,1,71,,0
dostavka_frame1,,,24,24,,
dostavka_frame2,,,24,24,,
dostavljat' naslazhdenie_frame1,,,14,14,,
dostavljat' naslazhdenie_frame2,,,14,14,,
dostavljat'_frame1,,,24,24,,
dostavljat'_frame2,,,24,24,,
dostigat'_frame1,,,96,71,,0
dostoprimechatel'nost'_frame1,,,87,87,,
dostoprimechatel'nost'_frame2,,,166,,,
dostupnyj_frame1,,,71,71,,
dostupnyj_frame2,,,71,71,,
dostup_frame1,,,71,71,,
dostup_frame2,,,71,71,,
dosug_frame2,,,1,1,,
doverie_frame1,,,14,71,,0
doverie_frame2,,,14,71,,0
doverjat'_frame2,,,14,71,,
dovol'no_frame1,,,71,,,
dovol'nyj_frame1,,,71,,,
dovol'nyj_frame2,,,71,,,
dovol'stvo_frame2,,,71,,,
dozhd'_frame1,,,87,87,0,0
dozhd'_frame2,,,87,87,0,0
do_frame2,,,79,79,,
dragocennyj_frame1,,,137,69,,
dragocennyj_frame2,,,96,69,,
draznit'_frame1,,,14,1,,
draznit'_frame2,,,14,1,,
dredy_frame1,,,144,144,,
dremota_frame1,,,71,,,
dremota_frame2,,,71,,,
drevnij_frame2,,,14,,,
drozh'_frame2,,,87,87,,
drozhat'_frame2,,,87,87,,
drozhzhi_frame1,,,97,97,,
drozhzhi_frame2,,,87,87,,
drugoj_frame1,,,14,14,,
drugoj_frame2,,,14,14,,
drug_frame1,,,1,,,
drug_frame2,,,1,,,
druzhba_frame1,,,78,78,,
